date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:27	474/474	---MCZ	200	added ('OK')	text/plain	etag:cacheable:fe220ef6c180749ed08045aa5424d4e5	https://korfitness.com/robots.txt		(from )
15:19:34	362568/362568	---MCZ	200	added ('OK')	text/html	etag:cacheable:661ffa21d0b4bdf6b097c4f904f56043	https://korfitness.com/	C:/Users/radou/Desktop/korfitness.com/korfitness.com/index.html	(from )
15:19:40	101850/101850	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2016%20May%202022%2014:19:38%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/radou/Desktop/korfitness.com/connect.facebook.net/en_US/fbevents.js	(from https://korfitness.com/)
15:19:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2014:19:43%20GMT	http://cdn.shopify.com/s/files/1/0073/3931/1192/files/KOR_small_32x32.png?v=1563652455	C:/Users/radou/Desktop/korfitness.com/cdn.shopify.com/s/files/1/0073/3931/1192/files/KOR_small_32x32.2c913.delayed	(from https://korfitness.com/)
15:19:43	5491/5491	---MCZ	200	added ('OK')	text/css	etag:W/%221573-1806bc80400%22	https://size-charts-relentless.herokuapp.com/css/size-charts-relentless.css	C:/Users/radou/Desktop/korfitness.com/size-charts-relentless.herokuapp.com/css/size-charts-relentless.css	(from https://korfitness.com/)
15:19:45	814/814	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Apr%202022%2004:40:02%20GMT	https://cdn.shopify.com/s/files/1/0073/3931/1192/files/KOR_small_32x32.png?v=1563652455	C:/Users/radou/Desktop/korfitness.com/cdn.shopify.com/s/files/1/0073/3931/1192/files/KOR_small_32x32c913.png	(from https://korfitness.com/)
15:19:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2014:19:50%20GMT	http://cdn.shopify.com/s/files/1/0073/3931/1192/t/9/assets/ajax-loader.gif?v=4135686330247201572	C:/Users/radou/Desktop/korfitness.com/cdn.shopify.com/s/files/1/0073/3931/1192/t/9/assets/ajax-loader2ab5.gif	(from https://korfitness.com/)
15:19:50	2042/2042	---M--	200	added ('OK')	image/gif	date:Fri,%2013%20May%202022%2012:03:31%20GMT	https://cdn.shopify.com/s/files/1/0073/3931/1192/t/9/assets/ajax-loader.gif?v=4135686330247201572	C:/Users/radou/Desktop/korfitness.com/cdn.shopify.com/s/files/1/0073/3931/1192/t/9/assets/ajax-loader2ab5.gif	(from https://korfitness.com/)
15:19:50	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2016%20May%202022%2014:07:42%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/radou/Desktop/korfitness.com/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://korfitness.com/)
15:19:52	129519/129519	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2016%20May%202022%2014:19:52%20GMT	https://analytics.tiktok.com/i18n/pixel/sdk.js?sdkid=BTFNKOR1811BQC940MKG	C:/Users/radou/Desktop/korfitness.com/analytics.tiktok.com/i18n/pixel/sdke08e.js	(from https://korfitness.com/)
